Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Abbey Wood,51.48648031512,0.10859224316653,Co-op Food,51.48749044462791,0.11375092312386315,Grocery Store
Abbey Wood,51.48648031512,0.10859224316653,S. Higgins Newsagents,51.48747609488592,0.11271715164184569,Newsagent
Abbey Wood,51.48648031512,0.10859224316653,Othalias Security Services U K,51.48352095330697,0.10546445846557617,IT Services
Abbey Wood,51.48648031512,0.10859224316653,Meghna Tandoori,51.48570896839401,0.10168105270063958,Indian Restaurant
Acton,51.51058775877,-0.26498902668911,The Station House,51.50887658087082,-0.2630759210521079,Pub
Acton,51.51058775877,-0.26498902668911,The Rocket,51.50877156930198,-0.2637867213673025,Pub
Acton,51.51058775877,-0.26498902668911,MrBakeme,51.50845201430658,-0.2685427219174968,Creperie
Acton,51.51058775877,-0.26498902668911,Acton Park,51.508594742382954,-0.26157297315454864,Park
Acton,51.51058775877,-0.26498902668911,Laveli Bakery,51.50885911091865,-0.2633663546087716,Bakery
Acton,51.51058775877,-0.26498902668911,Acton Centre,51.506608482889405,-0.26687840878984603,Gym / Fitness Center
Acton,51.51058775877,-0.26498902668911,Park+Bridge,51.50838186825999,-0.26708364486694336,Wine Shop
Acton,51.51058775877,-0.26498902668911,Acton Central London Overground Station,51.50858971711533,-0.26292786285307534,Train Station
Acton,51.51058775877,-0.26498902668911,Putt in the Park,51.508583,-0.26017797,Mini Golf
Acton,51.51058775877,-0.26498902668911,Lidl,51.50779279,-0.27021034,Supermarket
Acton,51.51058775877,-0.26498902668911,DW Fitness First,51.50723386333193,-0.2690392050070243,Gym / Fitness Center
Acton,51.51058775877,-0.26498902668911,Sainsbury's Local,51.5084713,-0.2663213,Grocery Store
Acton,51.51058775877,-0.26498902668911,The Belvedere,51.50693400920319,-0.269061696823087,Pub
Acton,51.51058775877,-0.26498902668911,Springfield Gardens,51.51082581495246,-0.2719545364379883,Park
Acton,51.51058775877,-0.26498902668911,Acton Park Playground,51.50845036508795,-0.25886824628812094,Playground
Addington,51.362931128458,-0.026373738779412,Three Halfpenny Wood,51.36097717285156,-0.026541199535131454,Forest
Addington,51.362931128458,-0.026373738779412,Spring park,51.362178763758216,-0.02289038237156379,Park
Addiscombe,51.381621885559,-0.068682165650808,The Tram Stop,51.380187656637844,-0.07337788601143598,Café
Addiscombe,51.381621885559,-0.068682165650808,Co-op Food,51.38198346951337,-0.06989233832126684,Grocery Store
Addiscombe,51.381621885559,-0.068682165650808,Greggs,51.380587,-0.072401,Bakery
